Object_Name,first_score,last_score,iterations,result
057_racquetball.obj,[314.91061075],[314.91061075],1,FAILURE
057_racquetball.obj,[251.827707],[251.827707],1,FAILURE
057_racquetball.obj,[316.34020356],[316.34020356],1,FAILURE
057_racquetball.obj,[246.06401447],[246.06401447],1,FAILURE
057_racquetball.obj,[279.61118229],[279.62404091],2,FAILURE
057_racquetball.obj,[229.30890784],[229.46912853],2,FAILURE
057_racquetball.obj,[314.5571099],[314.5571099],1,FAILURE
057_racquetball.obj,[228.07829258],[228.07829258],1,FAILURE
057_racquetball.obj,[342.54552494],[342.54552494],1,SUCCESS
057_racquetball.obj,[332.8450213],[332.8450213],1,SUCCESS
057_racquetball.obj,[239.70658585],[240.33312888],2,FAILURE
057_racquetball.obj,[282.74505259],[283.31235144],2,FAILURE
057_racquetball.obj,[315.32348594],[315.35582329],2,FAILURE
057_racquetball.obj,[338.79912163],[338.79912163],1,SUCCESS
057_racquetball.obj,[292.76904181],[292.76904181],1,FAILURE
057_racquetball.obj,[270.4833763],[270.49394067],2,FAILURE
057_racquetball.obj,[212.1028597],[212.23310014],2,FAILURE
057_racquetball.obj,[338.75977202],[338.75977202],1,SUCCESS
057_racquetball.obj,[195.8550669],[196.39615096],2,FAILURE
057_racquetball.obj,[272.65650587],[272.66093883],2,FAILURE
057_racquetball.obj,[257.52773698],[257.86985284],2,FAILURE
057_racquetball.obj,[318.20903648],[318.20903648],1,FAILURE
057_racquetball.obj,[291.34128094],[291.34128094],1,FAILURE
057_racquetball.obj,[340.47029577],[340.47029577],1,SUCCESS
057_racquetball.obj,[213.33533866],[213.5987656],2,FAILURE
057_racquetball.obj,[287.53555715],[287.8080021],2,FAILURE
057_racquetball.obj,[269.97875451],[269.98382838],2,FAILURE
057_racquetball.obj,[253.18461269],[253.18461269],1,FAILURE
057_racquetball.obj,[278.74411826],[278.97672188],2,FAILURE
057_racquetball.obj,[219.96109036],[219.98680542],2,FAILURE
057_racquetball.obj,[315.70826585],[315.70826585],1,FAILURE
057_racquetball.obj,[284.8521011],[284.95905535],2,FAILURE
057_racquetball.obj,[215.1387016],[215.1387016],1,FAILURE
057_racquetball.obj,[215.61336674],[215.62508745],2,FAILURE
057_racquetball.obj,[224.35189308],[224.35189308],1,FAILURE
057_racquetball.obj,[244.36092729],[244.36092729],1,FAILURE
057_racquetball.obj,[298.3480666],[298.37282432],2,FAILURE
057_racquetball.obj,[270.12675719],[270.21420883],2,FAILURE
057_racquetball.obj,[214.6933021],[215.08469172],2,FAILURE
057_racquetball.obj,[297.6695217],[297.82865471],2,FAILURE
057_racquetball.obj,[236.12822565],[236.13858663],2,FAILURE
057_racquetball.obj,[222.37734894],[222.37734894],1,FAILURE
057_racquetball.obj,[282.68249779],[282.7506292],2,FAILURE
057_racquetball.obj,[245.53235989],[245.54759736],2,FAILURE
057_racquetball.obj,[290.27719621],[290.27719621],1,FAILURE
057_racquetball.obj,[194.79146533],[194.8077646],2,FAILURE
057_racquetball.obj,[233.80509596],[234.35661302],2,FAILURE
057_racquetball.obj,[281.63310693],[281.69545379],2,FAILURE
057_racquetball.obj,[196.52802333],[196.52807665],2,FAILURE
057_racquetball.obj,[293.24703995],[293.24703995],1,FAILURE
057_racquetball.obj,[260.87956445],[260.88832755],2,FAILURE
057_racquetball.obj,[277.52488055],[277.78771586],2,FAILURE
057_racquetball.obj,[239.90489948],[240.07554913],2,FAILURE
057_racquetball.obj,[214.64351574],[214.64351574],1,FAILURE
057_racquetball.obj,[278.98992194],[279.09400559],2,FAILURE
057_racquetball.obj,[230.4163818],[230.41824013],2,FAILURE
057_racquetball.obj,[242.7737765],[242.78409122],2,FAILURE
057_racquetball.obj,[274.14933122],[274.14933122],1,FAILURE
057_racquetball.obj,[303.80993951],[303.80993951],1,FAILURE
057_racquetball.obj,[295.28792021],[295.29068225],2,FAILURE
057_racquetball.obj,[240.02712883],[240.02712883],1,FAILURE
057_racquetball.obj,[217.17993233],[217.18347734],2,FAILURE
057_racquetball.obj,[333.75100735],[333.75100735],1,SUCCESS
057_racquetball.obj,[239.17818722],[239.17818722],1,FAILURE
057_racquetball.obj,[261.59240592],[262.03429906],2,FAILURE
057_racquetball.obj,[234.09879989],[234.10936868],2,FAILURE
057_racquetball.obj,[351.53405632],[351.53405632],1,SUCCESS
057_racquetball.obj,[231.92064853],[231.92751152],2,FAILURE
057_racquetball.obj,[273.3277217],[273.84406452],2,FAILURE
057_racquetball.obj,[342.21334637],[342.21334637],1,SUCCESS
057_racquetball.obj,[211.49895505],[211.55418333],2,FAILURE
057_racquetball.obj,[306.93288681],[306.93288681],1,FAILURE
057_racquetball.obj,[198.17236365],[198.17455915],2,FAILURE
057_racquetball.obj,[261.80756223],[261.81576869],2,FAILURE
057_racquetball.obj,[269.55455249],[269.55510885],2,FAILURE
057_racquetball.obj,[265.54425467],[265.54425467],1,FAILURE
057_racquetball.obj,[189.29075772],[189.29075772],1,FAILURE
057_racquetball.obj,[280.4651846],[280.4651846],1,FAILURE
057_racquetball.obj,[233.63588119],[233.97613876],2,FAILURE
057_racquetball.obj,[283.57427112],[283.68553703],2,FAILURE
057_racquetball.obj,[298.68922439],[298.6923136],2,FAILURE
057_racquetball.obj,[319.55706853],[319.59130013],2,FAILURE
057_racquetball.obj,[268.90317272],[268.90317272],1,FAILURE
057_racquetball.obj,[299.78821659],[299.78821659],1,FAILURE
057_racquetball.obj,[285.72425926],[285.72769199],2,FAILURE
057_racquetball.obj,[299.9401424],[300.04469541],2,FAILURE
057_racquetball.obj,[262.41830262],[262.43129866],2,FAILURE
057_racquetball.obj,[308.15683207],[308.15683207],1,FAILURE
057_racquetball.obj,[194.65226424],[194.7108838],2,FAILURE
057_racquetball.obj,[267.86496772],[267.88270589],2,FAILURE
057_racquetball.obj,[322.41925709],[322.41925709],1,FAILURE
057_racquetball.obj,[222.59991864],[222.59991864],1,FAILURE
057_racquetball.obj,[260.2558145],[260.2558145],1,FAILURE
057_racquetball.obj,[276.55641697],[276.55641697],1,FAILURE
057_racquetball.obj,[320.5160102],[320.5160102],1,FAILURE
057_racquetball.obj,[349.92614019],[349.92614019],1,SUCCESS
057_racquetball.obj,[318.64838589],[318.69570082],2,FAILURE
057_racquetball.obj,[233.48480234],[233.62841123],2,FAILURE
057_racquetball.obj,[250.14252534],[250.18012802],2,FAILURE
057_racquetball.obj,[274.77298304],[274.77698346],2,FAILURE
057_racquetball.obj,[326.44507376],[326.44507376],1,FAILURE
057_racquetball.obj,[257.45492295],[257.45639761],2,FAILURE
057_racquetball.obj,[330.86819865],[330.86819865],1,SUCCESS
057_racquetball.obj,[226.37052842],[226.37052842],1,FAILURE
057_racquetball.obj,[297.93681264],[297.93681264],1,FAILURE
057_racquetball.obj,[253.29815656],[253.30134602],2,FAILURE
057_racquetball.obj,[203.75338638],[203.75338638],1,FAILURE
057_racquetball.obj,[232.5966828],[232.5966828],1,FAILURE
057_racquetball.obj,[272.15238519],[272.15238519],1,FAILURE
057_racquetball.obj,[327.29756091],[327.56870398],2,FAILURE
057_racquetball.obj,[243.47487332],[243.66131975],2,FAILURE
057_racquetball.obj,[256.19136551],[256.19136551],1,FAILURE
057_racquetball.obj,[256.9675769],[256.9888463],2,FAILURE
057_racquetball.obj,[261.93122011],[261.93122011],1,FAILURE
057_racquetball.obj,[196.55779972],[196.75410323],2,FAILURE
057_racquetball.obj,[345.52413918],[345.52413918],1,SUCCESS
057_racquetball.obj,[252.77306149],[252.77306149],1,FAILURE
057_racquetball.obj,[351.31010104],[351.31010104],1,SUCCESS
057_racquetball.obj,[288.26073161],[288.2668782],2,FAILURE
057_racquetball.obj,[234.32556252],[234.36196538],2,FAILURE
057_racquetball.obj,[199.1868258],[199.69191421],2,FAILURE
057_racquetball.obj,[214.17462707],[214.22501038],2,FAILURE
057_racquetball.obj,[324.73452877],[324.73452877],1,FAILURE
057_racquetball.obj,[205.06508154],[205.06508154],1,FAILURE
057_racquetball.obj,[324.21497042],[324.21497042],1,FAILURE
057_racquetball.obj,[265.91882266],[265.91882266],1,FAILURE
057_racquetball.obj,[218.97334992],[218.97334992],1,FAILURE
057_racquetball.obj,[260.76084813],[260.76122228],2,FAILURE
057_racquetball.obj,[280.83807674],[280.85109037],2,FAILURE
057_racquetball.obj,[246.05027722],[246.05027722],1,FAILURE
057_racquetball.obj,[269.33964902],[269.37825993],2,FAILURE
057_racquetball.obj,[312.80611527],[312.80611527],1,FAILURE
057_racquetball.obj,[296.79823359],[296.79823359],1,FAILURE
057_racquetball.obj,[279.30967599],[279.31095393],2,FAILURE
057_racquetball.obj,[240.48945247],[240.48945247],1,FAILURE
057_racquetball.obj,[211.14734846],[211.14997477],2,FAILURE
057_racquetball.obj,[292.41637462],[292.79884833],2,FAILURE
057_racquetball.obj,[324.08919973],[324.09806326],2,FAILURE
057_racquetball.obj,[225.05290721],[225.05290721],1,FAILURE
057_racquetball.obj,[187.2054705],[187.2054705],1,FAILURE
057_racquetball.obj,[320.67311539],[320.67311539],1,FAILURE
057_racquetball.obj,[251.03869817],[251.03869817],1,FAILURE
057_racquetball.obj,[224.43695894],[224.4427898],2,FAILURE
057_racquetball.obj,[223.65098547],[223.65098547],1,FAILURE
057_racquetball.obj,[349.38428558],[349.38428558],1,SUCCESS
057_racquetball.obj,[273.81169509],[273.81187031],2,FAILURE
057_racquetball.obj,[221.23414424],[221.23414424],1,FAILURE
057_racquetball.obj,[268.42134602],[268.42134602],1,FAILURE
057_racquetball.obj,[295.0576301],[295.0576301],1,FAILURE
057_racquetball.obj,[261.46977503],[261.48944835],2,FAILURE
057_racquetball.obj,[251.10322222],[251.10322222],1,FAILURE
057_racquetball.obj,[251.91343696],[252.42861381],2,FAILURE
057_racquetball.obj,[247.75446014],[247.75446014],1,FAILURE
057_racquetball.obj,[265.95867777],[265.96486627],2,FAILURE
057_racquetball.obj,[190.59275804],[190.75793843],2,FAILURE
057_racquetball.obj,[348.09046099],[348.09046099],1,SUCCESS
057_racquetball.obj,[229.48204001],[229.54165901],2,FAILURE
057_racquetball.obj,[341.05555594],[341.05555594],1,SUCCESS
057_racquetball.obj,[268.22222346],[268.22222346],1,FAILURE
057_racquetball.obj,[195.41903061],[195.51013387],2,FAILURE
057_racquetball.obj,[306.17422188],[306.17422188],1,FAILURE
057_racquetball.obj,[326.21219188],[326.26097282],2,FAILURE
057_racquetball.obj,[281.0195978],[281.0195978],1,FAILURE
057_racquetball.obj,[292.79840767],[292.80460403],2,FAILURE
057_racquetball.obj,[277.54156463],[277.57044904],2,FAILURE
